CODE,Group,purity,TMB,HRD,LOH,MATH,MSI,NEO,ploidy,SampleName
BLCA,Tumor,0.51,8.2,43,0.196003551,51.4850717,0.3298,13,3.58,TCGA-BT-A3PJ-01
BLCA,Tumor,0.49,10.1,16,0.076662747,23.7216,0.2734,12,2.09,TCGA-BT-A0YX-01
BLCA,Tumor,0.47,2.5,35,0.268645986,48.37957895,0.3411,1,3.14,TCGA-XF-A9SK-01
BLCA,Tumor,0.44,5.7,19,0.25519282,56.3388,0.3177,1,3.4,TCGA-UY-A9PH-01
BLCA,Tumor,0.2,15.6,47,0.13325894,52.33683442,0.3184,27,6.48,TCGA-ZF-A9RC-01
BLCA,Tumor,0.5,1.9,20,0.101943279,33.73658239,0.3302,2,1.98,TCGA-XF-A9SX-01
BLCA,Tumor,0.91,1.36,15,0.178601564,26.02583477,0.3411,0,1.95,TCGA-XF-AAN1-01
BLCA,Tumor,0.94,5.1,13,0.05462945,23.06266667,0.3112,40,4.19,TCGA-FD-A43X-01
BLCA,Tumor,0.4,5.26,52,0.000373405,61.98264706,0.3383,2,5.35,TCGA-K4-A3WS-01
BLCA,Tumor,0.69,3.82,29,0.162935625,64.71666667,0.3279,7,1.88,TCGA-G2-AA3D-01
BLCA,Tumor,0.75,2.78,37,0.223331393,49.23083254,0.339,4,3.4,TCGA-GU-AATQ-01
BLCA,Tumor,0.78,1.96,8,0.056896386,68.10381719,0.3291,3,2.01,TCGA-GD-A3OQ-01
BLCA,Tumor,0.5,23,5,0.040451725,33.69545455,0.3282,10,2,TCGA-DK-A3WW-01
BLCA,Tumor,0.75,2.62,39,0.348564937,64.69108696,0.345,16,2.78,TCGA-PQ-A6FI-01
BLCA,Tumor,0.38,2.54,13,0.028635645,32.08314516,0.3018,3,2.31,TCGA-BL-A5ZZ-01
BLCA,Tumor,0.92,3.4,31,0.221587422,43.73291293,0.328,25,3.06,TCGA-E7-A5KE-01
BLCA,Tumor,0.5,1.3,18,0.169850452,35.94181818,0.3375,1,1.97,TCGA-FD-A3SQ-01
BLCA,Tumor,0.92,3.96,0,0.053665555,112.0069241,0.2822,5,1.95,TCGA-DK-A1AG-01
BLCA,Tumor,0.46,7,23,0.197599519,44.0887334,0.3182,0,3.58,TCGA-DK-A3IT-01
BLCA,Tumor,0.4,1.6,12,0.190355756,30.66226224,0.3313,6,1.99,TCGA-XF-AAMR-01
BLCA,Tumor,0.26,5.98,42,0.236772796,67.19385965,0.3097,41,4.55,TCGA-HQ-A5NE-01
BLCA,Tumor,0.33,2.04,15,0.095962722,48.98412328,0.3286,3,4.31,TCGA-ZF-AA52-01
BLCA,Tumor,0.39,7.9,33,0.021455641,46.9240404,0.3155,29,5.25,TCGA-E7-A541-01
BLCA,Tumor,0.72,5.98,42,0.375796242,37.26320856,0.3436,17,2.54,TCGA-UY-A8OB-01
BLCA,Tumor,0.49,5.36,15,0.129863445,36.34853278,0.3505,3,2.18,TCGA-XF-AAN5-01
BLCA,Tumor,0.45,3.76,12,0.120262217,38.71807072,0.3186,11,2.01,TCGA-E7-A97P-01
BLCA,Tumor,0.71,1.26,44,0.468584864,46.33125,0.3513,5,2.89,TCGA-GC-A3RD-01
BLCA,Tumor,0.32,15.32,8,0.075127101,27.51483392,0.3247,14,2,TCGA-E7-A7XN-01
BLCA,Tumor,0.9,4.66,19,0.362578139,75.77995231,0.3614,20,1.88,TCGA-GV-A3JX-01
BLCA,Tumor,0.84,1.38,3,0.05675959,32.14027972,0.3215,3,1.97,TCGA-4Z-AA83-01
BLCA,Tumor,0.7,0.92,4,0.012615074,35.30757348,0.3314,13,2.09,TCGA-ZF-AA5N-01
