SampleName,BCL2A1,DUSP2,FTL,HLA-E,HMGB2,ID2,JUNB,LGMN,LYZ,MALAT1,NFKB1,NR4A2,NR4A3,PIM3,PLA2G7,ZFP36,ZNF331,Group,CODE
TCGA-MN-A4N4-01,15.73596657,5.977478794,13667.63549,813.8309022,45.19606285,36.74634429,552.6572205,151.2485264,356.4113815,35.43414543,29.73944161,7.434360747,1.209519169,64.93953145,12.59547652,273.3136226,8.154759376,Tumor,LUAD
TCGA-91-A4BC-01,17.17090184,25.5815627,7791.332564,837.5475321,108.9491144,79.37810707,162.7619093,103.2969864,351.455135,48.64925416,17.3373876,5.697663337,2.3532711,81.686792,46.3653901,134.2206398,12.4241666,Tumor,LUAD
TCGA-78-7542-01,18.23336417,4.560062759,5439.410723,1927.453481,205.9423188,13.18306758,219.7227335,147.6516314,58.2590179,31.85893907,64.16183645,4.069646783,0.821608885,200.926589,9.911026005,108.7544047,6.816946612,Tumor,LUAD
TCGA-78-7155-01,7.918976154,17.31023885,6701.756397,214.9313031,189.0368709,413.1833221,36.92432227,174.2997568,362.4237295,20.81735148,16.94249787,8.297842736,1.93213058,60.04098012,28.18664925,39.08477417,19.21545382,Tumor,LUAD
TCGA-MP-A4T4-01,26.66362695,32.19188205,12850.55059,1281.591906,186.7259142,52.24947465,291.8765446,163.8867679,1568.192227,48.50414415,35.84794994,14.49744872,2.373563285,67.24010944,42.19472478,285.3806581,8.767116471,Tumor,LUAD
TCGA-69-7979-01,7.253535492,5.545404784,15310.8275,475.6092987,108.5114037,16.10002429,180.740431,136.0516626,188.8458731,31.71576575,17.03571279,3.810749532,1.545831861,63.14277398,12.3464053,210.8369071,14.20422539,Tumor,LUAD
TCGA-95-7944-01,29.89245643,21.34391876,8477.162517,813.7234214,62.64472725,56.04694074,263.6140155,63.34937427,883.7951908,18.99111552,27.59541785,113.0746181,2.019746059,141.3433704,39.2371574,179.6319188,14.48259798,Tumor,LUAD
TCGA-44-8119-01,33.26186412,9.431081348,7920.979563,547.4925195,204.5766458,407.2805897,435.1163548,314.3719622,399.9588313,32.33999189,38.83935298,32.788132,7.567943299,617.6853862,29.32823004,670.4896782,6.093273943,Tumor,LUAD
TCGA-49-4494-01,38.20445778,10.49021969,21439.88047,881.6154446,131.4108662,34.56495726,364.2259965,213.3570149,211.5809064,2.663378019,28.95238719,5.153897666,1.486259147,156.1229694,8.436055767,119.0094143,3.504435185,Tumor,LUAD
TCGA-MP-A4TA-01,15.86894159,22.22262311,13120.15513,1160.801759,83.73707903,26.60347767,552.9233379,167.0905921,340.6451925,27.23469678,29.44445648,80.1913326,6.600946293,279.6430145,27.59625622,500.7164521,10.78632891,Tumor,LUAD
TCGA-67-6216-01,15.22539201,8.004378854,9009.555942,1006.991828,60.4387921,27.40271791,374.3478508,205.2643393,337.4727858,36.61094599,66.04377148,29.09640878,6.274582578,222.2655365,6.255913158,610.1073288,19.96968745,Tumor,LUAD
TCGA-91-6835-01,42.61014708,76.53741452,15927.92789,1734.893328,128.8892556,83.6710973,579.1469909,415.571122,2042.424711,56.66511596,55.58637482,29.83736959,5.882026364,130.8008598,99.78466175,1003.485363,11.03222013,Tumor,LUAD
TCGA-50-5935-01,21.10703017,10.29090108,7547.965828,1639.918309,73.70895549,38.35434371,320.9579518,246.6550136,1040.999346,71.3460771,45.74142805,11.85731078,2.45766152,135.7638913,38.77503893,209.4596595,14.15626393,Tumor,LUAD
TCGA-05-4384-01,26.24680147,8.050658954,18873.84715,764.7080466,35.01304767,53.13335334,434.9623853,195.5223853,568.4925273,100.9011185,36.39973499,58.07388969,2.895288383,434.7766234,23.08125295,1261.836471,13.9448914,Tumor,LUAD
TCGA-55-6980-01,26.42139733,44.42916679,9342.739789,1674.83964,57.82996413,59.02049684,1152.424234,262.5146993,1562.25508,36.46038431,43.06056146,39.08763764,8.389457144,86.14567995,8.437905638,1235.631387,10.73341372,Tumor,LUAD
TCGA-05-5425-01,64.66672097,28.69409437,23819.37414,2109.092813,60.35157248,51.86753225,286.6812687,211.7007105,1183.921319,6.624694936,33.29323148,61.10435032,20.27764477,165.5392118,186.3658186,335.0617042,28.94526817,Tumor,LUAD
TCGA-L4-A4E6-01,78.47600328,25.03944828,77667.48074,1463.740901,41.33948468,145.3116639,671.52367,1380.176574,2179.45673,54.69491079,29.51108427,65.08131255,5.344926017,139.2423986,210.0223957,1253.247633,16.04816098,Tumor,LUAD
TCGA-95-8039-01,26.32642601,14.37136924,9291.001826,1013.137258,70.93878881,46.05373974,288.8660643,240.1990969,919.0249251,26.56097326,57.15097064,6.32633098,3.899752153,105.6328436,18.12404557,156.5763921,5.241650565,Tumor,LUAD
