CODE,Group,DMPss,DNAss,ENHss,EREG.EXPss,EREG-METHss,RNAss,SampleName
BLCA,Tumor,0.168770029,0.271648675,0.35449252,0.742318702,0.334125934,0.402112219,TCGA-ZF-AA5N-01
BLCA,Tumor,0.089851739,0.216319546,0.205346887,0.520092899,0.332475418,0.438283015,TCGA-H4-A2HQ-01
BLCA,Tumor,0.122840852,0.230164973,0.237895774,0.408529061,0.316645724,0.39872417,TCGA-G2-A2EF-01
BLCA,Tumor,0.176210508,0.289979132,0.322302258,0.729840362,0.387685811,0.36746696,TCGA-UY-A9PF-01
BLCA,Tumor,0.101877408,0.202917247,0.208790717,0.657800481,0.28644142,0.327274069,TCGA-XF-A9SU-01
BLCA,Tumor,0.027663986,0.103188412,0.11340795,0.515786737,0.17542396,0.423677522,TCGA-DK-A3WY-01
BLCA,Tumor,0.126205382,0.256256847,0.261559994,0.64023736,0.371873238,0.355437987,TCGA-5N-A9KM-01
BLCA,Tumor,0.085219118,0.204936997,0.201600004,0.499327567,0.303386542,0.597194813,TCGA-DK-AA6T-01
BLCA,Tumor,0.176598514,0.333111602,0.384884723,0.619739941,0.462690692,0.531490819,TCGA-E5-A4TZ-01
BLCA,Tumor,0.224494438,0.355397965,0.401146645,0.594392842,0.461181701,0.312284081,TCGA-FD-A43N-01
BLCA,Tumor,0.156409333,0.265598003,0.276587141,0.631350614,0.377537283,0.352131969,TCGA-5N-A9KI-01
BLCA,Tumor,0.081927498,0.194701876,0.223280517,0.529136374,0.285308853,0.224557517,TCGA-FD-A3SP-01
BLCA,Tumor,0.101915963,0.207955047,0.26175382,0.833525918,0.294570413,0.351736601,TCGA-XF-AAMH-01
BLCA,Tumor,0.059007119,0.144416257,0.153928894,0.638621588,0.226683014,0.420255493,TCGA-DK-A2I2-01
BLCA,Tumor,0.19821362,0.306054901,0.338310061,0.480081433,0.402508532,0.505558363,TCGA-KQ-A41O-01
BLCA,Tumor,0.039133602,0.167684635,0.150843407,0.530401034,0.285149801,0.566014286,TCGA-DK-A3IM-01
BLCA,Tumor,0.135311975,0.235606635,0.250707796,0.611516407,0.322554989,0.470142454,TCGA-4Z-AA7Q-01
BLCA,Tumor,0.119940326,0.216377315,0.256473701,0.557737873,0.288984923,0.497443312,TCGA-DK-A2I6-01
BLCA,Tumor,0.090964951,0.168129081,0.134733322,0.518284204,0.255346979,0.501937362,TCGA-DK-A6B6-01
BLCA,Tumor,0.242308892,0.373579752,0.472884194,0.574088477,0.46869631,0.323878794,TCGA-CU-A72E-01
BLCA,Tumor,0.091821215,0.188536064,0.202750421,0.513833341,0.275430935,0.335032911,TCGA-FT-A61P-01
BLCA,Tumor,0.085807334,0.191319401,0.184264624,0.545509708,0.290285402,0.058138341,TCGA-DK-A3IQ-01
BLCA,Tumor,0.098275762,0.19066925,0.218411871,0.640707622,0.271665922,0.435892324,TCGA-UY-A78N-01
